method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
PCA,5,random_lp_C_test_00007,5.847233365434287,91.86185428056636,0.0636524639223539,0.0075210999930277,1.0,,,,random_lp_C,RandomLP C,random_lp,,
PCA,5,random_lp_C_test_00008,5.900370062413284,91.83785747956809,0.0642476885278599,0.0091669999528676,1.0,,,,random_lp_C,RandomLP C,random_lp,,
PCA,5,random_lp_C_test_00009,5.92060066208068,91.8766934465544,0.0644407241921995,0.0076077000703662,1.0,,,,random_lp_C,RandomLP C,random_lp,,
PCA,5,random_lp_C_test_00010,5.764054447962907,91.6870299281485,0.0628666284912922,0.0106070999754592,1.0,,,,random_lp_C,RandomLP C,random_lp,,
PCA,5,random_lp_C_test_00011,5.848551365366655,91.81905627799458,0.063696487444386,0.0091094999806955,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00000,34.99400011759192,91.77178366816526,0.3813154623225547,0.0062375001143664,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00001,35.0033874254637,91.83143567802225,0.381169990069544,0.0050056000472977,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00002,34.90702267887895,91.71645709159034,0.3805971554703637,0.0099613999482244,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00003,35.00455598287729,91.81838206157173,0.3812369069997757,0.0091898000100627,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00004,34.96716882385103,91.77237203624192,0.3810206497663818,0.0118693000404164,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00005,35.0048219428879,91.74780495802588,0.3815330727411126,0.0114418999291956,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00006,35.02199631294795,91.82019053374084,0.3814193382672032,0.0092733999481424,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00007,35.04200723180188,91.86185428056636,0.3814641834332656,0.0097770999418571,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00008,35.06791680483043,91.83785747956809,0.3818459812461575,0.0049279000377282,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00009,35.07180380773106,91.8766934465544,0.3817268829785725,0.0064484999747946,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00010,34.905000023167005,91.6870299281485,0.380697248569625,0.0063201999291777,1.0,,,,random_lp_C,RandomLP C,random_lp,,
SGA,5,random_lp_C_test_00011,35.02221617345545,91.81905627799458,0.3814264444999409,0.0097685999935492,1.0,,,,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00000,48.36171968027398,91.77178366816555,0.5269780944341613,0.015064200037159,1.0,48.36171968027398,18.528752901907,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00001,48.37950904514635,91.83143567802244,0.5268294967615842,0.0158578000264242,1.0,48.37950904514635,18.52875671885729,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00002,48.30460687120019,91.71645709158987,0.5266732754729312,0.015375499962829,1.0,48.30460687120019,18.528748210776754,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00003,48.362922805393104,91.81838206157263,0.526723753125614,0.0087630000198259,1.0,48.362922805393104,18.5287754568834,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00004,48.31551159620998,91.77237203624078,0.5264712083188855,0.0091374000767245,1.0,48.31551159620998,18.5287288393634,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00005,48.35191462570625,91.74780495802612,0.5270089529425458,0.0063373999437317,1.0,48.35191462570625,18.52876217477282,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00006,48.36724567449284,91.82019053374034,0.5267604586021825,0.0076968999346718,1.0,48.36724567449284,18.52878024300125,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00007,48.391674991085765,91.86185428056534,0.5267874829010903,0.0067178999306634,1.0,48.391674991085765,18.528710017980227,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00008,48.40647628073821,91.837857479568,0.527086297625221,0.0082786000566557,1.0,48.40647628073821,18.52875900766353,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00009,48.44615000839471,91.8766934465546,0.5272953149601125,0.0098027000203728,1.0,48.44615000839471,18.52879775023717,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00010,48.26520799599954,91.6870299281494,0.5264126020204013,0.008095399942249,1.0,48.26520799599954,18.528738832794165,217.0,random_lp_C,RandomLP C,random_lp,,
CostOnly,5,random_lp_C_test_00011,48.364469292792,91.81905627799595,0.5267367282273225,0.0091900000115856,1.0,48.364469292792,18.52871782406539,217.0,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00000,6.386066405834584,91.77178366816526,0.0695863821163786,0.0228761000325903,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00001,6.394900465428027,91.83143567802225,0.0696373787277998,0.009153899969533,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00002,6.326607542979373,91.71645709159034,0.0689800690476024,0.0171389000024646,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00003,6.376827752767301,91.81838206157173,0.0694504478252635,0.0172950000269338,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00004,6.350353699406717,91.77237203624192,0.0691967915670621,0.0087000000057742,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00005,6.383205936597664,91.74780495802588,0.0695733913145709,0.0102648999309167,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00006,6.395073117180428,91.82019053374084,0.0696477874855907,0.0109795000171288,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00007,6.384212410463032,91.86185428056636,0.0694979701908067,0.0129660000093281,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00008,6.435425263512684,91.83785747956809,0.0700737739329821,0.0107271000742912,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00009,6.454413022170815,91.8766934465544,0.0702508196589096,0.0141630000434815,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00010,6.3013669460156425,91.6870299281485,0.0687269175471576,0.0146207000361755,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00011,6.385114074919606,91.81905627799458,0.0695401840723325,0.0092847000341862,1.0,,,,random_lp_C,RandomLP C,random_lp,,
Rand,10,random_lp_C_test_00000,6.430762290081248,91.77178366816526,0.0700734150851207,0.0080738998949527,1.0,,,,random_lp_C,RandomLP C,random_lp,,
