case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count
maxflow,MaxFlow,maxflow,SGA,20,16,20,0.9999540216290372,8.385151391621104e-06,2
maxflow,MaxFlow,maxflow,SGA,20,20,20,0.9999547651570799,7.886354357167223e-06,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,0,20,0.6544037749639116,0.0005397586935126375,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,1,20,0.6544047310864515,0.0005395820196061329,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,2,20,0.654404545230374,0.0005397682189394737,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,3,20,0.6544044861273464,0.0005397089843940384,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,4,20,0.6544044864409511,0.0005397092229592615,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,8,20,0.6544044873554073,0.0005397094261942459,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,12,20,0.6544044879069444,0.0005397095056955403,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,16,20,0.6544044882697029,0.0005397096225410736,2
mincostflow,MinCostFlow,mincostflow,CostOnly,20,20,20,0.6544044888498864,0.0005397098614376983,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,0,20,0.6544037749639116,0.0005397586935126375,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,1,20,0.9995100525569648,0.0004899474430352102,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,2,20,0.9995100525569648,0.0004899474430352102,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,3,20,0.9995100525569648,0.0004899474430352102,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,4,20,0.9995100525569648,0.0004899474430352102,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,8,20,0.9995100525569648,0.0004899474430352102,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,12,20,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,16,20,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,OursExact,20,20,20,0.999929385263715,7.061473628500181e-05,2
mincostflow,MinCostFlow,mincostflow,PCA,20,0,20,0.6544037749639116,0.0005397586935126375,2
mincostflow,MinCostFlow,mincostflow,PCA,20,1,20,0.6544037749639116,0.0005397586935123599,2
mincostflow,MinCostFlow,mincostflow,PCA,20,2,20,0.6544037749639116,0.0005397586935123599,2
