case,title,family,method,K,objective_ratio_mean,objective_ratio_se,seed_count
scagr25,SCAGR25,netlib,OursExact,50,1.0,0.0,2
scagr25,SCAGR25,netlib,PCA,5,0.38793777359564807,1.0791325402714767e-07,2
scagr25,SCAGR25,netlib,PCA,10,0.38793777359564807,1.0791325402714767e-07,2
scagr25,SCAGR25,netlib,PCA,20,0.3879377735956437,1.0791324961401116e-07,2
scagr25,SCAGR25,netlib,PCA,30,0.38793777359564086,1.0791326127135291e-07,2
scagr25,SCAGR25,netlib,PCA,40,0.38793777359564086,1.0791326127135291e-07,2
scagr25,SCAGR25,netlib,PCA,50,0.38793777359564086,1.0791326127135291e-07,2
scagr25,SCAGR25,netlib,Rand,5,0.38793777359564807,1.0791325402714767e-07,2
scagr25,SCAGR25,netlib,Rand,10,0.38793777359564807,1.0791325402714767e-07,2
scagr25,SCAGR25,netlib,Rand,20,0.38793777359564807,1.0791325402714767e-07,2
scagr25,SCAGR25,netlib,Rand,30,0.38793777359564807,1.0791325402714767e-07,2
scagr25,SCAGR25,netlib,Rand,40,0.38793777359564807,1.0791325402714767e-07,2
scagr25,SCAGR25,netlib,Rand,50,0.3879377735956481,1.0791325405490326e-07,2
scagr25,SCAGR25,netlib,SGA,5,0.39182183526582026,0.0027782060522326957,2
scagr25,SCAGR25,netlib,SGA,10,0.3946406642986457,0.004981848234154983,2
scagr25,SCAGR25,netlib,SGA,20,0.4005608721691216,0.003063297330270692,2
scagr25,SCAGR25,netlib,SGA,30,0.4341812671701182,0.013521387430759505,2
scagr25,SCAGR25,netlib,SGA,40,0.4341812671701182,0.013521387430759505,2
scagr25,SCAGR25,netlib,SGA,50,0.4341812671701182,0.013521387430759505,2
stair,STAIR,netlib,CostOnly,5,0.95771352295339,1.3136633852939283e-07,2
stair,STAIR,netlib,CostOnly,10,0.95771352295339,1.3136633852939283e-07,2
stair,STAIR,netlib,CostOnly,20,0.95771352295339,1.3136633852939283e-07,2
stair,STAIR,netlib,CostOnly,30,0.95771352295339,1.3136633852939283e-07,2
