method,K,objective_ratio_mean,objective_ratio_se,time_mean,time_se,success_rate,n,case,title,family
Full,50,1.0,0.0,0.0243746583291794,0.0009372868219018,1.0,12,sc205,SC205,netlib
OursEstC,5,1.0,0.0,0.00328739999289,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,10,1.0,0.0,0.00328739999289,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,20,1.0,0.0,0.00328739999289,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,30,1.0,0.0,0.00328739999289,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,40,1.0,0.0,0.00328739999289,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
OursEstC,50,1.0,0.0,0.00328739999289,7.200106347834428e-05,1.0,12,sc205,SC205,netlib
PCA,5,0.0,0.0,0.0058078166815296,0.0001392514950216,1.0,12,sc205,SC205,netlib
PCA,10,0.0,0.0,0.008959525002865,0.0003183293499899,1.0,12,sc205,SC205,netlib
PCA,20,0.0,0.0,0.013760391671288,0.001182767469521,1.0,12,sc205,SC205,netlib
PCA,30,0.0,0.0,0.0164037000019257,0.0007359112594781,1.0,12,sc205,SC205,netlib
PCA,40,0.0,0.0,0.016919966690087,0.0006484981271864,1.0,12,sc205,SC205,netlib
PCA,50,0.0,0.0,0.0170914250193163,0.000786573254828,1.0,12,sc205,SC205,netlib
Rand,5,0.0,0.0,0.0034094027715682,0.0001116540112764,1.0,36,sc205,SC205,netlib
Rand,10,9.340822267596525e-09,9.340822267596525e-09,0.0043700499777009,0.0001131477998703,1.0,36,sc205,SC205,netlib
Rand,20,0.0,0.0,0.0050205611300447,0.0001866536491618,1.0,36,sc205,SC205,netlib
Rand,30,0.0,0.0,0.0065257027745246,0.0001678628925042,1.0,36,sc205,SC205,netlib
Rand,40,1.2232852214527004e-05,4.616272806332761e-06,0.007775586117835,0.0003034426390996,1.0,36,sc205,SC205,netlib
Rand,50,1.3074827923971172e-05,3.477084483099653e-06,0.008425416657701,0.0003233031214568,1.0,36,sc205,SC205,netlib
SGA,5,0.0132520147297092,1.228290511879878e-05,0.0082132499665021,0.0004408639962914,1.0,12,sc205,SC205,netlib
SGA,10,0.1636781142243386,6.02958412002278e-06,0.0099524249865983,0.0003260617573226,1.0,12,sc205,SC205,netlib
SGA,20,0.1663603202549776,3.585195256816466e-05,0.0159883333350686,0.0007950027569842,1.0,12,sc205,SC205,netlib
SGA,30,0.2287676693805904,1.4029839447249513e-05,0.0185257249977439,0.000617779580458,1.0,12,sc205,SC205,netlib
SGA,40,0.217875788108552,1.1125273069526344e-05,0.0169207250000908,0.0005055606565003,1.0,12,sc205,SC205,netlib
SGA,50,0.2141605080919265,1.3978661003607078e-05,0.0175919250080671,0.0004372961034228,1.0,12,sc205,SC205,netlib
