epoch,train_ratio,val_ratio
0,1.0096991166518833e-07,2.032447576439149e-07
1,0.03595628758666746,0.0977134424358807
2,0.062474947320098784,1.4899545482611547e-07
3,1.341301123450878e-07,1.2028731659250111e-07
4,1.150156066894365e-07,1.097898242702778e-07
