method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,50,mincostflow_test_00003,504.3802279732369,504.3802279732369,1.0,0.4228014999534935,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,50,mincostflow_test_00004,503.2312119020608,503.2312119020608,1.0,0.4606189999030903,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,50,mincostflow_test_00005,503.5718944320505,503.5718944320505,1.0,0.4440168000292033,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,50,mincostflow_test_00006,503.8198858076877,503.8198858076877,1.0,0.4834185000509023,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,50,mincostflow_test_00007,503.0799918289378,503.0799918289378,1.0,0.4450420000357553,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,50,mincostflow_test_00008,502.8993427448796,502.8993427448796,1.0,0.4057911999989301,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,50,mincostflow_test_00009,503.1277898287378,503.1277898287378,1.0,0.4809333001030609,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,50,mincostflow_test_00010,503.1313859848569,503.1313859848569,1.0,0.4860076999757439,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Full,50,mincostflow_test_00011,504.32660550268497,504.32660550268497,1.0,0.4194538999581709,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00000,330.0,504.11720032943583,0.6546096816064758,0.0077761999564245,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00001,330.0,502.6299979516808,0.6565465677433041,0.0058397999964654,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00002,330.0,502.8604746565826,0.6562456518885605,0.0041614000219851,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00003,330.0,504.3802279732369,0.6542683112818416,0.0057955000083893,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00004,330.0,503.2312119020608,0.6557621868339615,0.0070986999198794,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00005,330.0,503.5718944320505,0.6553185426922761,0.0083967000246047,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00006,330.0,503.8198858076877,0.6549959803015076,0.0058750000316649,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00007,330.0,503.0799918289378,0.6559593014230028,0.0054959999397397,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00008,330.0,502.8993427448796,0.6561949319695348,0.0065411999821662,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00009,330.0,503.1277898287378,0.6558969841684363,0.0067851000931113,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00010,330.0,503.1313859848569,0.6558922961127539,0.0080610000295564,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00011,330.0,504.32660550268497,0.654337876287677,0.0066862000385299,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
Rand,5,mincostflow_test_00000,330.0,504.11720032943583,0.6546096816064758,0.0065802000463008,1.0,,,,mincostflow,MinCostFlow,mincostflow,,
