case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count,source_method
scagr25,SCAGR25,netlib,data-driven proj,20,1,20,0.3879776463542481,7.282250449880402e-08,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,20,2,20,0.3933678561777307,0.0009817347562529,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,20,3,20,0.3940389756393263,0.0007756915112772,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,20,4,20,0.4013746039003548,0.0013607680473751,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,20,8,20,0.3911744884631186,0.0016397032581607,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,20,12,20,0.3964403375643839,0.0044629805802665,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,20,16,20,0.3925996867744298,0.0011950557793791,2,SGA
scagr25,SCAGR25,netlib,data-driven proj,20,20,20,0.3991685729628088,0.0025980413887431,2,SGA
shortest_path,ShortestPath,shortest_path,CostOnly,20,0,20,0.973322307212545,2.1203031925765004e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,CostOnly,20,1,20,0.9733223148746148,2.120303197739037e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,CostOnly,20,2,20,0.9733223148800634,2.1203018057969203e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,CostOnly,20,3,20,0.973322314880951,2.120303290609193e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,CostOnly,20,4,20,0.9733223110478588,2.1241385064763026e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,CostOnly,20,8,20,0.9733223110521488,2.1241427963780697e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,CostOnly,20,12,20,0.9733223110711942,2.1241618418099684e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,CostOnly,20,16,20,0.9733223110863964,2.1241770439828223e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,CostOnly,20,20,20,0.9733259894557964,5.802546443889333e-06,2,CostOnly
shortest_path,ShortestPath,shortest_path,OursExact,20,0,20,0.973322307212545,2.1203031925765004e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,OursExact,20,1,20,0.99998962049932,4.706077368910044e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,OursExact,20,2,20,0.99998962049932,4.706077368910044e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,OursExact,20,3,20,0.99998962049932,4.706077368910044e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,OursExact,20,4,20,0.99998962049932,4.706077368910044e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,OursExact,20,8,20,0.99998962049932,4.706077368910044e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,OursExact,20,12,20,0.99998962049932,4.706077368910044e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,OursExact,20,16,20,0.99998962049932,4.706077368910044e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,OursExact,20,20,20,0.99998962049932,4.706077368910044e-06,2,OursExact
shortest_path,ShortestPath,shortest_path,data-driven proj,20,0,20,0.973322307212545,2.1203031925765004e-06,2,PCA
shortest_path,ShortestPath,shortest_path,data-driven proj,20,1,20,0.9733223072125337,2.1203031956296137e-06,2,PCA
shortest_path,ShortestPath,shortest_path,data-driven proj,20,2,20,0.9733223072125337,2.1203031956296137e-06,2,PCA
shortest_path,ShortestPath,shortest_path,data-driven proj,20,3,20,0.9733223072125337,2.1203031956296137e-06,2,PCA
shortest_path,ShortestPath,shortest_path,data-driven proj,20,4,20,0.9733223072125337,2.1203031956296137e-06,2,PCA
shortest_path,ShortestPath,shortest_path,data-driven proj,20,8,20,0.9733223072125337,2.1203031956296137e-06,2,PCA
shortest_path,ShortestPath,shortest_path,data-driven proj,20,12,20,0.9733223072125337,2.1203031956296137e-06,2,PCA
shortest_path,ShortestPath,shortest_path,data-driven proj,20,16,20,0.9733223072125337,2.1203031956296137e-06,2,PCA
shortest_path,ShortestPath,shortest_path,data-driven proj,20,20,20,0.9733223072125337,2.1203031956296137e-06,2,PCA
stair,STAIR,netlib,CostOnly,20,0,20,0.9577133915870514,0.0,2,CostOnly
stair,STAIR,netlib,CostOnly,20,1,20,0.9577136543197284,0.0,2,CostOnly
stair,STAIR,netlib,CostOnly,20,2,20,0.9577136543197284,0.0,2,CostOnly
stair,STAIR,netlib,CostOnly,20,3,20,0.9577136543197284,0.0,2,CostOnly
stair,STAIR,netlib,CostOnly,20,4,20,0.9577136543197284,0.0,2,CostOnly
stair,STAIR,netlib,CostOnly,20,8,20,0.9577136543197284,0.0,2,CostOnly
stair,STAIR,netlib,CostOnly,20,12,20,0.9577136543197284,0.0,2,CostOnly
stair,STAIR,netlib,CostOnly,20,16,20,0.9577136543197284,0.0,2,CostOnly
stair,STAIR,netlib,CostOnly,20,20,20,0.9577136543197284,0.0,2,CostOnly
stair,STAIR,netlib,OursExact,20,0,20,0.9577133915870514,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,1,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,2,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,3,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,4,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,8,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,12,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,16,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,OursExact,20,20,20,1.0000000000000009,0.0,2,OursExact
stair,STAIR,netlib,data-driven proj,20,0,20,0.9577133915870514,0.0,2,SGA
stair,STAIR,netlib,data-driven proj,20,1,20,0.9672463978314174,0.0095330043957201,2,SGA
stair,STAIR,netlib,data-driven proj,20,2,20,0.9767794024222028,4.3461900745001e-11,2,SGA
stair,STAIR,netlib,data-driven proj,20,3,20,0.976779402263009,3.6286196269941216e-11,2,SGA
stair,STAIR,netlib,data-driven proj,20,4,20,0.9767794024222234,1.6252421630724712e-10,2,SGA
stair,STAIR,netlib,data-driven proj,20,8,20,0.976779402392534,7.336881102661832e-11,2,SGA
stair,STAIR,netlib,data-driven proj,20,12,20,0.9767794023628992,1.031237872872886e-10,2,SGA
stair,STAIR,netlib,data-driven proj,20,16,20,0.976779402392414,7.336553586867467e-11,2,SGA
stair,STAIR,netlib,data-driven proj,20,20,20,0.9767794023548528,1.109158875856192e-10,2,SGA
