case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count,source_method
mincostflow,MinCostFlow,mincostflow,CostOnly,20,8,20,0.6544044873554073,0.0005397094261942,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,12,20,0.6544044879069444,0.0005397095056955,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,16,20,0.6544044882697029,0.000539709622541,2,CostOnly
mincostflow,MinCostFlow,mincostflow,CostOnly,20,20,20,0.6544044888498864,0.0005397098614376,2,CostOnly
mincostflow,MinCostFlow,mincostflow,OursExact,20,0,20,0.6544037749639116,0.0005397586935126,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,1,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,2,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,3,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,4,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,8,20,0.9995100525569648,0.0004899474430352,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,12,20,0.999929385263715,7.061473628500181e-05,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,16,20,0.999929385263715,7.061473628500181e-05,2,OursExact
mincostflow,MinCostFlow,mincostflow,OursExact,20,20,20,0.999929385263715,7.061473628500181e-05,2,OursExact
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,0,20,0.6544037749639116,0.0005397586935126,2,PCA
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,1,20,0.6544037749639116,0.0005397586935123,2,PCA
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,2,20,0.6544037749639116,0.0005397586935123,2,PCA
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,3,20,0.6544037749639116,0.0005397586935123,2,PCA
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,4,20,0.6544037749639116,0.0005397586935123,2,PCA
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,8,20,0.8264420606921645,0.1725780444217654,2,PCA
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,12,20,0.8268613933989164,0.1729973771285172,2,PCA
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,16,20,0.826879306245037,0.1730152899746378,2,PCA
mincostflow,MinCostFlow,mincostflow,data-driven proj,20,20,20,0.9999472981098348,5.2701890163597824e-05,2,PCA
packing,Packing,packing,CostOnly,20,0,20,0.0,0.0,2,CostOnly
packing,Packing,packing,CostOnly,20,1,20,0.9427076543015984,0.0004893886981128,2,CostOnly
packing,Packing,packing,CostOnly,20,2,20,0.9446281872157614,0.0007147105032778,2,CostOnly
packing,Packing,packing,CostOnly,20,3,20,0.9448641831163592,0.0014556291002186,2,CostOnly
packing,Packing,packing,CostOnly,20,4,20,0.9463467899212354,0.0001461333306405,2,CostOnly
packing,Packing,packing,CostOnly,20,8,20,0.947549986252701,0.0011968407839453,2,CostOnly
packing,Packing,packing,CostOnly,20,12,20,0.9498095373401052,0.0003067604073512,2,CostOnly
packing,Packing,packing,CostOnly,20,16,20,0.9541234942011448,0.0008703019114604,2,CostOnly
packing,Packing,packing,CostOnly,20,20,20,0.954727985836742,0.0007706793283531,2,CostOnly
packing,Packing,packing,OursExact,20,0,20,0.0,0.0,2,OursExact
packing,Packing,packing,OursExact,20,1,20,1.0,0.0,2,OursExact
packing,Packing,packing,OursExact,20,2,20,1.0,0.0,2,OursExact
packing,Packing,packing,OursExact,20,3,20,1.0,0.0,2,OursExact
packing,Packing,packing,OursExact,20,4,20,1.0,0.0,2,OursExact
packing,Packing,packing,OursExact,20,8,20,1.0,0.0,2,OursExact
packing,Packing,packing,OursExact,20,12,20,1.0,0.0,2,OursExact
packing,Packing,packing,OursExact,20,16,20,1.0,0.0,2,OursExact
packing,Packing,packing,OursExact,20,20,20,1.0,0.0,2,OursExact
packing,Packing,packing,data-driven proj,20,0,20,0.0,0.0,2,SGA
packing,Packing,packing,data-driven proj,20,1,20,0.9735609941883192,0.0006449340611194,2,SGA
packing,Packing,packing,data-driven proj,20,2,20,0.9744548908867524,0.0006673824391011,2,SGA
packing,Packing,packing,data-driven proj,20,3,20,0.97529415813583,0.0002121498035391,2,SGA
packing,Packing,packing,data-driven proj,20,4,20,0.9758009217202552,0.000146824567635,2,SGA
packing,Packing,packing,data-driven proj,20,8,20,0.97564599776643,0.0005817689245394,2,SGA
packing,Packing,packing,data-driven proj,20,12,20,0.9758469422804624,0.000423694560463,2,SGA
packing,Packing,packing,data-driven proj,20,16,20,0.9758644133148424,0.0004911216575281,2,SGA
packing,Packing,packing,data-driven proj,20,20,20,0.9760766278050844,0.0004840875512113,2,SGA
random_lp_A,RandomLP A,random_lp,CostOnly,20,0,20,0.1420284745425932,0.0152039154522984,2,CostOnly
random_lp_A,RandomLP A,random_lp,CostOnly,20,1,20,0.6027705060189856,0.013748849302687,2,CostOnly
random_lp_A,RandomLP A,random_lp,CostOnly,20,2,20,0.6573444677124614,0.0070781342800156,2,CostOnly
random_lp_A,RandomLP A,random_lp,CostOnly,20,3,20,0.7124090270646181,0.0165730144197648,2,CostOnly
random_lp_A,RandomLP A,random_lp,CostOnly,20,4,20,0.7017698460207813,0.017691607868439,2,CostOnly
random_lp_A,RandomLP A,random_lp,CostOnly,20,8,20,0.7758436259506486,0.0082609350372331,2,CostOnly
random_lp_A,RandomLP A,random_lp,CostOnly,20,12,20,0.8054803230993344,0.0214175063801407,2,CostOnly
random_lp_A,RandomLP A,random_lp,CostOnly,20,16,20,0.7980423077890608,0.0251490716212422,2,CostOnly
random_lp_A,RandomLP A,random_lp,CostOnly,20,20,20,0.7045742462582674,0.0268030744054489,2,CostOnly
random_lp_A,RandomLP A,random_lp,OursExact,20,0,20,0.1420284745425932,0.0152039154522984,2,OursExact
random_lp_A,RandomLP A,random_lp,OursExact,20,1,20,1.0,1.5700924586837752e-16,2,OursExact
random_lp_A,RandomLP A,random_lp,OursExact,20,2,20,1.0,1.5700924586837752e-16,2,OursExact
random_lp_A,RandomLP A,random_lp,OursExact,20,3,20,1.0,1.5700924586837752e-16,2,OursExact
random_lp_A,RandomLP A,random_lp,OursExact,20,4,20,1.0,1.5700924586837752e-16,2,OursExact
random_lp_A,RandomLP A,random_lp,OursExact,20,8,20,1.0,1.5700924586837752e-16,2,OursExact
random_lp_A,RandomLP A,random_lp,OursExact,20,12,20,1.0,1.5700924586837752e-16,2,OursExact
random_lp_A,RandomLP A,random_lp,OursExact,20,16,20,1.0,1.5700924586837752e-16,2,OursExact
random_lp_A,RandomLP A,random_lp,OursExact,20,20,20,1.0,1.5700924586837752e-16,2,OursExact
random_lp_A,RandomLP A,random_lp,data-driven proj,20,0,20,0.1420284745425932,0.0152039154522984,2,SGA
random_lp_A,RandomLP A,random_lp,data-driven proj,20,1,20,0.355846013846123,0.0105751122635137,2,SGA
random_lp_A,RandomLP A,random_lp,data-driven proj,20,2,20,0.366703964361781,0.0145529383663254,2,SGA
random_lp_A,RandomLP A,random_lp,data-driven proj,20,3,20,0.4111940703658389,0.0133126375191924,2,SGA
random_lp_A,RandomLP A,random_lp,data-driven proj,20,4,20,0.3905971683315206,0.0191310139297352,2,SGA
random_lp_A,RandomLP A,random_lp,data-driven proj,20,8,20,0.4423622329655711,0.0434182368310914,2,SGA
random_lp_A,RandomLP A,random_lp,data-driven proj,20,12,20,0.447516799501066,0.0265983268020069,2,SGA
random_lp_A,RandomLP A,random_lp,data-driven proj,20,16,20,0.4452185517956945,0.0159111238015065,2,SGA
random_lp_A,RandomLP A,random_lp,data-driven proj,20,20,20,0.4366817262793491,0.0038446526297259,2,SGA
random_lp_B,RandomLP B,random_lp,CostOnly,20,0,20,-0.0075544244847274,0.0301261368129239,2,CostOnly
random_lp_B,RandomLP B,random_lp,CostOnly,20,1,20,0.4348970460003691,0.0519022535682323,2,CostOnly
random_lp_B,RandomLP B,random_lp,CostOnly,20,2,20,0.5427684026935107,0.0692120961372398,2,CostOnly
random_lp_B,RandomLP B,random_lp,CostOnly,20,3,20,0.6063018210247295,0.0605285243502454,2,CostOnly
random_lp_B,RandomLP B,random_lp,CostOnly,20,4,20,0.6490278027448293,0.0928530598057674,2,CostOnly
random_lp_B,RandomLP B,random_lp,CostOnly,20,8,20,0.7076528957954498,0.0659637900965209,2,CostOnly
random_lp_B,RandomLP B,random_lp,CostOnly,20,12,20,0.7353378443749792,0.0641901735848363,2,CostOnly
random_lp_B,RandomLP B,random_lp,CostOnly,20,16,20,0.740796632871479,0.0622975497291368,2,CostOnly
random_lp_B,RandomLP B,random_lp,CostOnly,20,20,20,0.6070757856603686,0.0552539458818619,2,CostOnly
random_lp_B,RandomLP B,random_lp,OursExact,20,0,20,-0.0075544244847274,0.0301261368129239,2,OursExact
random_lp_B,RandomLP B,random_lp,OursExact,20,1,20,0.9999999999999998,2.220446049250313e-16,2,OursExact
random_lp_B,RandomLP B,random_lp,OursExact,20,2,20,0.9999999999999998,2.220446049250313e-16,2,OursExact
random_lp_B,RandomLP B,random_lp,OursExact,20,3,20,0.9999999999999998,2.220446049250313e-16,2,OursExact
random_lp_B,RandomLP B,random_lp,OursExact,20,4,20,0.9999999999999998,2.220446049250313e-16,2,OursExact
random_lp_B,RandomLP B,random_lp,OursExact,20,8,20,0.9999999999999998,2.220446049250313e-16,2,OursExact
random_lp_B,RandomLP B,random_lp,OursExact,20,12,20,0.9999999999999998,2.220446049250313e-16,2,OursExact
random_lp_B,RandomLP B,random_lp,OursExact,20,16,20,0.9999999999999998,2.220446049250313e-16,2,OursExact
random_lp_B,RandomLP B,random_lp,OursExact,20,20,20,0.9999999999999998,2.220446049250313e-16,2,OursExact
random_lp_B,RandomLP B,random_lp,data-driven proj,20,0,20,-0.0075544244847274,0.0301261368129239,2,SGA
random_lp_B,RandomLP B,random_lp,data-driven proj,20,1,20,0.1782575172453523,0.0487795774363529,2,SGA
random_lp_B,RandomLP B,random_lp,data-driven proj,20,2,20,0.2294113674184891,0.0494274043684328,2,SGA
random_lp_B,RandomLP B,random_lp,data-driven proj,20,3,20,0.2276964505431064,0.0300723574272185,2,SGA
random_lp_B,RandomLP B,random_lp,data-driven proj,20,4,20,0.2286832767516289,0.0336757210198805,2,SGA
random_lp_B,RandomLP B,random_lp,data-driven proj,20,8,20,0.2555721221174067,0.0206108344517569,2,SGA
random_lp_B,RandomLP B,random_lp,data-driven proj,20,12,20,0.2597367835725276,0.0053541063122395,2,SGA
random_lp_B,RandomLP B,random_lp,data-driven proj,20,16,20,0.2769127760309615,0.030108286976002,2,SGA
random_lp_B,RandomLP B,random_lp,data-driven proj,20,20,20,0.2785301848519513,0.0101995607615377,2,SGA
random_lp_C,RandomLP C,random_lp,CostOnly,20,0,20,0.1332114650842356,0.0693902767267986,2,CostOnly
random_lp_C,RandomLP C,random_lp,CostOnly,20,1,20,0.4839980322446277,0.0471680359467978,2,CostOnly
random_lp_C,RandomLP C,random_lp,CostOnly,20,2,20,0.565656515118744,0.0395245530028264,2,CostOnly
random_lp_C,RandomLP C,random_lp,CostOnly,20,3,20,0.6083925240243995,0.0129118880249198,2,CostOnly
random_lp_C,RandomLP C,random_lp,CostOnly,20,4,20,0.6388539950557229,0.0158518151112556,2,CostOnly
random_lp_C,RandomLP C,random_lp,CostOnly,20,8,20,0.7110803236617733,0.0063179107212832,2,CostOnly
random_lp_C,RandomLP C,random_lp,CostOnly,20,12,20,0.7392365431171501,0.0162445565704472,2,CostOnly
random_lp_C,RandomLP C,random_lp,CostOnly,20,16,20,0.7166784768847649,0.036654257630705,2,CostOnly
random_lp_C,RandomLP C,random_lp,CostOnly,20,20,20,0.6210264888293109,0.0160414315469957,2,CostOnly
random_lp_C,RandomLP C,random_lp,OursExact,20,0,20,0.1332114650842356,0.0693902767267986,2,OursExact
random_lp_C,RandomLP C,random_lp,OursExact,20,1,20,0.9999999999999992,6.131407058289217e-16,2,OursExact
random_lp_C,RandomLP C,random_lp,OursExact,20,2,20,0.9999999999999992,6.131407058289217e-16,2,OursExact
random_lp_C,RandomLP C,random_lp,OursExact,20,3,20,0.9999999999999992,6.131407058289217e-16,2,OursExact
random_lp_C,RandomLP C,random_lp,OursExact,20,4,20,0.9999999999999992,6.131407058289217e-16,2,OursExact
random_lp_C,RandomLP C,random_lp,OursExact,20,8,20,0.9999999999999992,6.131407058289217e-16,2,OursExact
random_lp_C,RandomLP C,random_lp,OursExact,20,12,20,0.9999999999999992,6.131407058289217e-16,2,OursExact
random_lp_C,RandomLP C,random_lp,OursExact,20,16,20,0.9999999999999992,6.131407058289217e-16,2,OursExact
random_lp_C,RandomLP C,random_lp,OursExact,20,20,20,0.9999999999999992,6.131407058289217e-16,2,OursExact
random_lp_C,RandomLP C,random_lp,data-driven proj,20,0,20,0.1332114650842356,0.0693902767267986,2,SGA
random_lp_C,RandomLP C,random_lp,data-driven proj,20,1,20,0.2500944039053375,0.1744327757403541,2,SGA
random_lp_C,RandomLP C,random_lp,data-driven proj,20,2,20,0.3247588698401051,0.107296549479442,2,SGA
random_lp_C,RandomLP C,random_lp,data-driven proj,20,3,20,0.3287911507171041,0.0759050897898428,2,SGA
random_lp_C,RandomLP C,random_lp,data-driven proj,20,4,20,0.3422641698423464,0.0685384498337554,2,SGA
random_lp_C,RandomLP C,random_lp,data-driven proj,20,8,20,0.3787621676002378,0.0877811345709372,2,SGA
random_lp_C,RandomLP C,random_lp,data-driven proj,20,12,20,0.4106916517719627,0.0716918897784228,2,SGA
random_lp_C,RandomLP C,random_lp,data-driven proj,20,16,20,0.4212840038048323,0.0675482494138185,2,SGA
random_lp_C,RandomLP C,random_lp,data-driven proj,20,20,20,0.4257830982193726,0.0766372621585813,2,SGA
random_lp_D,RandomLP D,random_lp,CostOnly,20,0,20,-0.0430999617401956,0.1468121262449333,2,CostOnly
random_lp_D,RandomLP D,random_lp,CostOnly,20,1,20,0.3741554397473178,0.0758547977348009,2,CostOnly
random_lp_D,RandomLP D,random_lp,CostOnly,20,2,20,0.4323848448577845,0.0812379018862404,2,CostOnly
random_lp_D,RandomLP D,random_lp,CostOnly,20,3,20,0.4680961395023108,0.0855921726151967,2,CostOnly
random_lp_D,RandomLP D,random_lp,CostOnly,20,4,20,0.4880045488669165,0.0796014874682365,2,CostOnly
