method,K,instance,objective,full_objective,objective_ratio,time,success,case,title,family,intrinsic_K,message
CostOnly,20,packing_test_00007,218.48036537363535,229.4264603199824,0.952289309040115,0.0088897000532597,1.0,packing,Packing,packing,,
CostOnly,20,packing_test_00008,220.40852343399888,230.84790939045772,0.9547780788484352,0.0097768999403342,1.0,packing,Packing,packing,,
CostOnly,20,packing_test_00009,220.95666693199,230.22174634721085,0.9597558459953316,0.0107052999082952,1.0,packing,Packing,packing,,
CostOnly,20,packing_test_00010,219.22901487246455,230.09828997400095,0.9527624690180682,0.0104767000302672,1.0,packing,Packing,packing,,
CostOnly,20,packing_test_00011,221.42573821042987,230.9602508662536,0.9587179498633944,0.0098183000227436,1.0,packing,Packing,packing,,
Rand,30,packing_test_00000,23.726983108523388,233.265568273414,0.1017166111747475,0.0041200999403372,1.0,packing,Packing,packing,,
Rand,30,packing_test_00001,24.03986431078756,229.78207164671875,0.1046202784164464,0.0055686000268906,1.0,packing,Packing,packing,,
Rand,30,packing_test_00002,23.30319530819945,231.24999524898823,0.1007705763760503,0.0043930999236181,1.0,packing,Packing,packing,,
Rand,30,packing_test_00003,23.56624556717442,232.05269552777483,0.1015555777689888,0.005050600040704,1.0,packing,Packing,packing,,
Rand,30,packing_test_00004,23.608563400622156,230.3178565095968,0.1025042684853158,0.0038630999624729,1.0,packing,Packing,packing,,
Rand,30,packing_test_00005,23.33761397554605,231.347256450289,0.1008769861101022,0.0046051000244915,1.0,packing,Packing,packing,,
Rand,30,packing_test_00006,23.17301386814588,231.39856840294945,0.1001432896844599,0.0045490999473258,1.0,packing,Packing,packing,,
Rand,30,packing_test_00007,23.731900784891156,229.4264603199824,0.1034401208639672,0.0038795999716967,1.0,packing,Packing,packing,,
Rand,30,packing_test_00008,23.7520040665904,230.84790939045772,0.10289027147487,0.0036858000094071,1.0,packing,Packing,packing,,
Rand,30,packing_test_00009,23.833882807575183,230.22174634721085,0.1035257667259196,0.0045189999509602,1.0,packing,Packing,packing,,
Rand,30,packing_test_00010,23.78865208183531,230.09828997400095,0.1033847408623645,0.0047503999667242,1.0,packing,Packing,packing,,
Rand,30,packing_test_00011,23.287054752637975,230.9602508662536,0.1008271105755043,0.0037396000698208,1.0,packing,Packing,packing,,
Rand,30,packing_test_00000,49.04020525800412,233.265568273414,0.2102333645766501,0.0040978000033646,1.0,packing,Packing,packing,,
