method,K,instance,objective,full_objective,objective_ratio,time,success,signed_nullspace_obj,x_std_norm,y_support_dim,case,title,family,intrinsic_K,message
Full,30,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00007,97.7940318633033,97.7940318633033,1.0,0.3500640999991447,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00008,97.7479866814014,97.7479866814014,1.0,0.3037055000895634,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00009,97.80727914825664,97.80727914825664,1.0,0.3040046000387519,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00010,97.76841749289429,97.76841749289429,1.0,0.3114627000177279,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,30,random_lp_D_test_00011,97.77435631283072,97.77435631283072,1.0,0.3723649999592453,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00007,97.7940318633033,97.7940318633033,1.0,0.3500640999991447,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00008,97.7479866814014,97.7479866814014,1.0,0.3037055000895634,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00009,97.80727914825664,97.80727914825664,1.0,0.3040046000387519,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00010,97.76841749289429,97.76841749289429,1.0,0.3114627000177279,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,40,random_lp_D_test_00011,97.77435631283072,97.77435631283072,1.0,0.3723649999592453,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00000,97.76135086218711,97.76135086218711,1.0,0.3659027999965474,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00001,97.72523175412172,97.72523175412172,1.0,0.3432892999844625,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00002,97.81041328259846,97.81041328259846,1.0,0.3219981000293046,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00003,97.7275462559939,97.7275462559939,1.0,0.3759158999891951,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00004,97.78333439652296,97.78333439652296,1.0,0.3494428000412881,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00005,97.73329843812336,97.73329843812336,1.0,0.3029138999991119,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00006,97.72905258546372,97.72905258546372,1.0,0.28290350001771,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00007,97.7940318633033,97.7940318633033,1.0,0.3500640999991447,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00008,97.7479866814014,97.7479866814014,1.0,0.3037055000895634,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00009,97.80727914825664,97.80727914825664,1.0,0.3040046000387519,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00010,97.76841749289429,97.76841749289429,1.0,0.3114627000177279,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Full,50,random_lp_D_test_00011,97.77435631283072,97.77435631283072,1.0,0.3723649999592453,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00000,10.48368080508797,97.76135086218711,0.1072374789487787,0.0061646999092772,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00001,10.423785000399697,97.72523175412172,0.1066642136661912,0.0058198999613523,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00002,10.54862019835347,97.81041328259846,0.1078476191269727,0.0056558999931439,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00003,10.394299631187,97.7275462559939,0.1063599776050807,0.0054517000680789,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00004,10.537119399468349,97.78333439652296,0.1077598699665843,0.0058925999328494,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00005,10.45661176056237,97.73329843812336,0.1069912908667728,0.0052389999618753,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00006,10.480038217482432,97.72905258546372,0.1072356473354499,0.0052329000318422,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00007,10.54225030651335,97.7940318633033,0.107800548823361,0.0051740000490099,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00008,10.489706224294135,97.7479866814014,0.1073137829271528,0.0052248000865802,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00009,10.558190045208216,97.80727914825664,0.1079489189061693,0.0050223999423906,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00010,10.555833145193754,97.76841749289429,0.1079677202094525,0.0051232000114396,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00011,10.493231966829184,97.77435631283072,0.1073209005156311,0.005295900045894,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00000,10.195978279844972,97.76135086218711,0.1042945723429917,0.0056624999269843,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00001,10.135640555771884,97.72523175412172,0.1037156973060275,0.0053072000155225,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00002,10.26357664009784,97.81041328259846,0.1049333736117015,0.0050787000218406,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00003,10.10714114781262,97.7275462559939,0.1034216199528566,0.0050748999929055,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00004,10.25214950698227,97.78333439652296,0.1048455707739377,0.0042158999713137,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00005,10.169345300534337,97.73329843812336,0.1040520013449942,0.006430699955672,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00006,10.193886729519496,97.72905258546372,0.104307638924515,0.0069038000656291,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00007,10.257406425273674,97.7940318633033,0.1048878569564602,0.0030453000217676,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00008,10.202700806534748,97.7479866814014,0.1043776056461327,0.0028601000085473,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00009,10.271941967245269,97.80727914825664,0.1050222647710608,0.0043551999842748,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00010,10.27055320645759,97.76841749289429,0.1050498051398248,0.0054483999265357,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00011,10.20742913980358,97.77435631283072,0.1043978147720526,0.0028456000145524,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00000,10.51390922353308,97.76135086218711,0.1075466851757643,0.0033294000895693,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00001,10.453319972896766,97.72523175412172,0.1069664383011901,0.0036195000866428,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00002,10.58065315704146,97.81041328259846,0.108175119621173,0.0044527000281959,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00003,10.425342876618712,97.7275462559939,0.1066776285297278,0.0064853000221773,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00004,10.56878476805148,97.78333439652296,0.1080837019240294,0.0062569000292569,1.0,,,,random_lp_D,RandomLP D,random_lp,,
Rand,5,random_lp_D_test_00005,10.486624837131895,97.73329843812336,0.1072983824829278,0.0057147000916302,1.0,,,,random_lp_D,RandomLP D,random_lp,,
