sample,rank_after_sample
0,0
1,6
2,10
3,11
4,12
5,12
6,12
7,12
8,12
9,12
10,13
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
